Height,Gender,Number of Shoes,Hours of Sleep,Number of Facebook Friends,Hours working,Number of States Visted,Handspan,Accomplishment choosen,Coin Flip Choice,Age Guessed,Year of Schooling
74,1,6,6,230,20,29,23,1,0,38,3
74,1,2,7.25,0,0,11,24.4,0,1,36,4
68,1,3,8,67,4,15,25,1,1,32,3
65,0,6,8.5,434,13,6,21,1,1,33,3
65,0,15,8.5,70,0,18,23,2,0,36,4
62,0,15,5.5,829,12,17,21,0,1,38,3
64,0,20,8,835,0,7,20,2,0,32,4
67,0,22,9,350,0,17,21,0,0,34,3
65,0,12,6.5,437,25,32,22,0,1,42,2
61,0,30,6,1300,30,27,19,2,1,36,4
64,0,15,4,380,8,7,21,2,1,40,3
73,1,2,9.5,300,12,3,22,0,0,42,4
72,1,1,8.5,150,7,8,23,1,1,35,4
80,1,3,6,300,10,20,26,0,1,34,3
74,1,5,7,20,25,15,20,1,0,35,4
67,1,18,7,300,10,14,23,1,1,33,4
73,1,20,6,400,10,4,23.5,1,1,36,3
67,1,4,7,200,6,2,23.6,1,1,32,3
68,1,4,7.5,272,0,14,24,1,1,36,3
70,1,5,7,819,8,16,20.3,0,1,37,4
71,1,9,8.5,250,10,15,21.4,0,0,45,3
79,1,3,8,300,20,16,24,1,0,30,4
76,1,3,7.5,0,0,10,23,1,1,33,4
71,1,75,10,230,30,21,24.5,1,1,35,4
69,1,3,6.5,286,0,12,23,1,1,40,4
70,1,4,8,300,15,10,23,0,0,37,3
68,1,7,9,300,20,20,23,0,1,46,4
70,1,4,7,178,0,10,22.3,1,0,43,3
72,1,5,9.5,32,20,10,25,0,0,34,4
64,1,3,8,956,18,5,21,1,0,34,4
72,1,6,8,200,0,13,22.5,0,0,39,3
76,1,6,7.5,450,20,3,24.5,1,0,39,3
68,1,13,8,200,32,8,23.5,1,0,35,3
